,Date,Daily_Visitors,t,t_square,log_visitors,dec,feb,jan,mar,nov,oct,visitors_First_Difference
0,2021-10-01,2649,1,1,7.88193748927207,0,0,0,0,0,1,-132.0
1,2021-10-02,2000,2,4,7.600902459542082,0,0,0,0,0,1,-649.0
2,2021-10-03,2011,3,9,7.606387389772652,0,0,0,0,0,1,11.0
3,2021-10-04,3219,4,16,8.076826031298808,0,0,0,0,0,1,1208.0
4,2021-10-05,3870,5,25,8.261009786023827,0,0,0,0,0,1,651.0
5,2021-10-06,3222,6,36,8.07775756373692,0,0,0,0,0,1,-648.0
6,2021-10-07,2906,7,49,7.974532844130228,0,0,0,0,0,1,-316.0
7,2021-10-08,2821,8,64,7.944846711001996,0,0,0,0,0,1,-85.0
8,2021-10-09,2500,9,81,7.824046010856292,0,0,0,0,0,1,-321.0
9,2021-10-10,2108,10,100,7.653494909661253,0,0,0,0,0,1,-392.0
10,2021-10-11,3248,11,121,8.085794701281568,0,0,0,0,0,1,1140.0
11,2021-10-12,2740,12,144,7.9157131993821155,0,0,0,0,0,1,-508.0
12,2021-10-13,2851,13,169,7.955425088912672,0,0,0,0,0,1,111.0
13,2021-10-14,2187,14,196,7.690286020676768,0,0,0,0,0,1,-664.0
14,2021-10-15,1578,15,225,7.363913501405819,0,0,0,0,0,1,-609.0
15,2021-10-16,2058,16,256,7.629489916393995,0,0,0,0,0,1,480.0
16,2021-10-17,2087,17,289,7.643482907077201,0,0,0,0,0,1,29.0
17,2021-10-18,3357,18,324,8.118802996980035,0,0,0,0,0,1,1270.0
18,2021-10-19,3078,19,361,8.032035314398824,0,0,0,0,0,1,-279.0
19,2021-10-20,3038,20,400,8.018954683155718,0,0,0,0,0,1,-40.0
20,2021-10-21,3133,21,441,8.049746290952191,0,0,0,0,0,1,95.0
21,2021-10-22,3016,22,484,8.011686729127847,0,0,0,0,0,1,-117.0
22,2021-10-23,2125,23,529,7.661527081358517,0,0,0,0,0,1,-891.0
23,2021-10-24,1991,24,576,7.596392304064196,0,0,0,0,0,1,-134.0
24,2021-10-25,3183,25,625,8.065579427282092,0,0,0,0,0,1,1192.0
25,2021-10-26,3207,26,676,8.073091199693154,0,0,0,0,0,1,24.0
26,2021-10-27,2862,27,729,7.959275960116396,0,0,0,0,0,1,-345.0
27,2021-10-28,2704,28,784,7.902487437162855,0,0,0,0,0,1,-158.0
28,2021-10-29,2743,29,841,7.916807490937603,0,0,0,0,0,1,39.0
29,2021-10-30,2056,30,900,7.628517626575055,0,0,0,0,0,1,-687.0
30,2021-10-31,1730,31,961,7.455876687491824,0,0,0,0,0,1,-326.0
31,2021-11-01,2369,32,1024,7.7702232041587855,0,0,0,0,1,0,639.0
32,2021-11-02,2219,33,1089,7.704811922932594,0,0,0,0,1,0,-150.0
33,2021-11-03,1890,34,1156,7.5443321080536885,0,0,0,0,1,0,-329.0
34,2021-11-04,1245,35,1225,7.126890808898808,0,0,0,0,1,0,-645.0
35,2021-11-05,1860,36,1296,7.528331766707247,0,0,0,0,1,0,615.0
36,2021-11-06,1814,37,1369,7.503289630675082,0,0,0,0,1,0,-46.0
37,2021-11-07,1623,38,1444,7.392031567514591,0,0,0,0,1,0,-191.0
38,2021-11-08,2628,39,1521,7.873978379604501,0,0,0,0,1,0,1005.0
39,2021-11-09,2557,40,1600,7.846589975291186,0,0,0,0,1,0,-71.0
40,2021-11-10,3195,41,1681,8.069342366811636,0,0,0,0,1,0,638.0
41,2021-11-11,3097,42,1764,8.038189179973203,0,0,0,0,1,0,-98.0
42,2021-11-12,2648,43,1849,7.881559917056899,0,0,0,0,1,0,-449.0
43,2021-11-13,2319,44,1936,7.7488913372555315,0,0,0,0,1,0,-329.0
44,2021-11-14,1725,45,2025,7.45298232946546,0,0,0,0,1,0,-594.0
45,2021-11-15,3206,46,2116,8.072779333169498,0,0,0,0,1,0,1481.0
46,2021-11-16,3105,47,2209,8.040768994367578,0,0,0,0,1,0,-101.0
47,2021-11-17,2734,48,2304,7.913521017283895,0,0,0,0,1,0,-371.0
48,2021-11-18,2974,49,2401,7.9976631270201,0,0,0,0,1,0,240.0
49,2021-11-19,3082,50,2500,8.033334015880062,0,0,0,0,1,0,108.0
50,2021-11-20,2676,51,2601,7.892078421248119,0,0,0,0,1,0,-406.0
51,2021-11-21,2336,52,2704,7.756195343948118,0,0,0,0,1,0,-340.0
52,2021-11-22,3607,53,2809,8.19063168090354,0,0,0,0,1,0,1271.0
53,2021-11-23,3314,54,2916,8.105911197986508,0,0,0,0,1,0,-293.0
54,2021-11-24,3388,55,3025,8.127995055771946,0,0,0,0,1,0,74.0
55,2021-11-25,3076,56,3136,8.031385330625534,0,0,0,0,1,0,-312.0
56,2021-11-26,2901,57,3249,7.972810784121404,0,0,0,0,1,0,-175.0
57,2021-11-27,2478,58,3364,7.815207062189088,0,0,0,0,1,0,-423.0
58,2021-11-28,2239,59,3481,7.713784616598755,0,0,0,0,1,0,-239.0
59,2021-11-29,3106,60,3600,8.041091003708633,0,0,0,0,1,0,867.0
60,2021-11-30,3403,61,3721,8.132412674500905,0,0,0,0,1,0,297.0
61,2021-12-01,3371,62,3844,8.12296471523406,1,0,0,0,0,0,-32.0
62,2021-12-02,3289,63,3969,8.098338846189057,1,0,0,0,0,0,-82.0
63,2021-12-03,2847,64,4096,7.954021087278037,1,0,0,0,0,0,-442.0
64,2021-12-04,2264,65,4225,7.724888439323074,1,0,0,0,0,0,-583.0
65,2021-12-05,2109,66,4356,7.653969180478774,1,0,0,0,0,0,-155.0
66,2021-12-06,3277,67,4489,8.094683648698815,1,0,0,0,0,0,1168.0
67,2021-12-07,3350,68,4624,8.116715624819111,1,0,0,0,0,0,73.0
68,2021-12-08,3250,69,4761,8.086410275323782,1,0,0,0,0,0,-100.0
69,2021-12-09,2461,70,4900,7.8083230503910555,1,0,0,0,0,0,-789.0
70,2021-12-10,2613,71,5041,7.868254265520613,1,0,0,0,0,0,152.0
71,2021-12-11,2293,72,5184,7.737616282857904,1,0,0,0,0,0,-320.0
72,2021-12-12,1931,73,5329,7.565793282428515,1,0,0,0,0,0,-362.0
73,2021-12-13,2682,74,5476,7.894318063841624,1,0,0,0,0,0,751.0
74,2021-12-14,2873,75,5625,7.96311205897929,1,0,0,0,0,0,191.0
75,2021-12-15,2594,76,5776,7.860956364876389,1,0,0,0,0,0,-279.0
76,2021-12-16,2615,77,5929,7.869019376499023,1,0,0,0,0,0,21.0
77,2021-12-17,2276,78,6084,7.730174795246222,1,0,0,0,0,0,-339.0
78,2021-12-18,1970,79,6241,7.585788821732034,1,0,0,0,0,0,-306.0
79,2021-12-19,1787,80,6400,7.488293515159428,1,0,0,0,0,0,-183.0
80,2021-12-20,2549,81,6561,7.8434564043761155,1,0,0,0,0,0,762.0
81,2021-12-21,2657,82,6724,7.884952945759814,1,0,0,0,0,0,108.0
